Start Time,Stop Time,Start Station Name,End Station Name,Bike ID,User Type,Gender,Birth Year
9/21/15 14:53,9/21/15 14:54,City Hall,City Hall,24722,Subscriber,1,1975
9/21/15 14:55,9/21/15 15:00,Exchange Place,Warren St,24388,Customer,0,
9/21/15 14:56,9/21/15 15:09,Exchange Place,Exchange Place,24442,Subscriber,1,1962
9/21/15 14:58,9/21/15 15:06,Hamilton Park,Hamilton Park,24678,Subscriber,2,1977
9/21/15 14:59,9/21/15 15:07,Hamilton Park,Grove St PATH,24574,Subscriber,2,1977
9/21/15 15:06,9/21/15 15:12,Sip Ave,Sip Ave,24520,Subscriber,2,1987
9/21/15 15:11,9/21/15 15:31,City Hall,Brunswick St,24441,Subscriber,1,1964
9/21/15 15:11,9/21/15 15:30,City Hall,Brunswick St,24719,Subscriber,1,1961
9/21/15 15:12,9/21/15 15:44,City Hall,Sip Ave,24706,Subscriber,1,1952
9/21/15 15:16,9/21/15 15:20,Sip Ave,Sip Ave,24555,Subscriber,2,1987
9/21/15 15:18,9/21/15 15:28,Exchange Place,Paulus Hook,24398,Subscriber,1,1962
9/21/15 15:18,9/21/15 15:27,Exchange Place,Newport Pkwy,24486,Subscriber,1,1967
9/21/15 15:20,9/21/15 15:59,Christ Hospital,Christ Hospital,24392,Subscriber,1,1965
9/21/15 15:20,9/21/15 15:28,Baldwin at Montgomery,Liberty Light Rail,24484,Subscriber,1,1971
9/21/15 15:21,9/21/15 15:29,Warren St,Exchange Place,24691,Customer,0,
9/21/15 15:22,9/21/15 15:26,Newport PATH,Hamilton Park,24400,Subscriber,2,1984
9/21/15 15:26,9/21/15 15:42,Newark Ave,Grove St PATH,24617,Subscriber,1,1983
9/21/15 15:26,9/21/15 15:32,Newark Ave,Hamilton Park,24443,Subscriber,1,1982
9/21/15 15:30,9/21/15 15:34,Exchange Place,City Hall,24442,Subscriber,1,1976
9/21/15 15:32,9/21/15 16:02,Brunswick St,Sip Ave,24723,Subscriber,1,1961
9/21/15 15:33,9/21/15 16:03,Brunswick St,Sip Ave,24701,Subscriber,1,1964
9/21/15 15:36,9/21/15 15:42,Hamilton Park,Newark Ave,24443,Subscriber,1,1982
9/21/15 15:37,9/21/15 15:46,Newport Pkwy,Exchange Place,24486,Subscriber,1,1967
9/21/15 15:38,9/21/15 15:54,Newark Ave,Grove St PATH,24478,Subscriber,1,1970
9/21/15 15:41,9/21/15 16:13,Bayside Park,Columbia Park,24547,Subscriber,1,1948
9/21/15 15:41,9/21/15 15:51,Sip Ave,Pershing Field,24529,Subscriber,1,1963
9/21/15 15:43,9/21/15 15:49,Warren St,Warren St,24556,Subscriber,1,1981
9/21/15 15:46,9/21/15 15:55,Exchange Place,Liberty Light Rail,24655,Subscriber,2,1981
9/21/15 15:53,9/21/15 16:34,Hamilton Park,Hamilton Park,24401,Customer,0,
9/21/15 15:57,9/21/15 16:13,Sip Ave,Grove St PATH,24706,Subscriber,1,1952
9/21/15 15:57,9/21/15 16:31,Grove St PATH,Van Vorst Park,24617,Subscriber,1,1985
9/21/15 15:58,9/21/15 16:01,Newark Ave,Hamilton Park,24614,Subscriber,1,1983
9/21/15 16:00,9/21/15 16:31,Riverview Park,Heights Elevator,24471,Subscriber,2,1989
9/21/15 16:03,9/21/15 16:09,Warren St,Paulus Hook,24388,Subscriber,1,1982
